Province,Date,negative,presumptive_negative,under_investigation,presumptive_positive,confirmed_positive,resolved,deceased,total_testing,Hospitalization,ICU,Ventilator,source,Note
AB,2021-02-06,NA,NA,NA,0,126416,118445,1705,3236038,457,84,NA,Input, NA
AB,2021-02-07,NA,NA,NA,0,126767,118816,1709,3244309,434,81,NA,Input, NA
AB,2021-02-08,NA,NA,NA,0,127036,119130,1710,3250517,432,76,NA,Input, NA
AB,2021-02-09,NA,NA,NA,0,127231,119678,1722,3257539,427,78,NA,Input, NA
AB,2021-02-10,NA,NA,NA,0,127570,120136,1728,3268436,421,77,NA,Input, NA
AB,2021-02-11,NA,NA,NA,0,127921,120676,1744,3278428,397,71,NA,Input, NA
AB,2021-02-12,NA,NA,NA,0,128235,121068,1760,3286857,371,66,NA,Input, NA
AB,2021-02-13,NA,NA,NA,0,128540,121494,1775,3294952,359,64,NA,Input, NA
AB,2021-02-14,NA,NA,NA,0,128824,121829,1780,3902945,351,60,NA,Input, NA
AB,2021-02-15,NA,NA,NA,0,129075,122071,1782,3308358,356,58,NA,Input, NA
AB,2021-02-16,NA,NA,NA,0,129338,122554,1791,3313593,365,56,NA,Input, NA
QC,2020-03-04,203,NA,33,0,1,NA,0,NA,NA,NA,NA,WBM,NA
QC,2020-03-05,242,NA,20,1,2,NA,0,NA,NA,NA,NA,WBM,NA
QC,2020-03-08,340,NA,10,2,2,NA,0,NA,NA,NA,NA,WBM,NA
QC,2020-03-09,376,NA,25,1,4,NA,0,NA,NA,NA,NA,WBM,NA
QC,2020-03-10,465,NA,91,0,7,NA,0,NA,NA,NA,NA,WBM,NA
QC,2020-03-11,570,NA,136,0,9,NA,0,NA,NA,NA,NA,WBM,NA
QC,2020-03-14,1399,NA,850,0,24,NA,0,NA,NA,NA,NA,https://www.msss.gouv.qc.ca/professionnels/maladies-infectieuses/coronavirus-2019-ncov ,NA
QC,2020-03-15,2270,NA,1480,0,39,NA,0,NA,NA,NA,NA,Input,NA
QC,2020-03-16,3079,NA,3073,0,50,NA,0,NA,2,0,NA,Input,NA
QC,2020-03-17,4778,NA,2949,0,74,NA,0,NA,5,0,NA,Input,NA
QC,2020-03-18,5213,NA,3627,0,94,NA,1,NA,6,4,NA,Input,NA
QC,2020-03-19,6331,NA,3997,0,121,1,1,NA,7,4,NA,Input,NA
QC,2020-03-20,7666,NA,2403,14,139,1,1,NA,10,6,NA,Input,NA
QC,2020-03-21,9242,NA,1512,57,181,1,4,NA,19,10,NA,Input,NA
QC,2020-03-22,9786,NA,2063,233,219,1,4,NA,24,13,NA,Input,NA
QC,2020-03-23,11211,NA,1888,NA,628,1,4,NA,45,20,NA,Input,"The significant increase in confirmed cases is explained by the fact that, on March 22, 2020, cases tested positive by hospital center laboratories are now considered confirmed. They no longer need validation by the Quebec Public Health Laboratory (LSPQ)."
QC,2020-03-24,12202,NA,2548,NA,1013,1,4,NA,67,31,NA,Input,NA
QC,2020-03-25,26634,NA,2998,NA,1339,1,6,NA,78,35,NA,Input,NA
QC,2020-03-26,31854,NA,2622,NA,1629,1,8,NA,106,43,NA,Input,NA
QC,2020-03-27,32335,NA,7236,NA,2021,29,18,NA,141,50,NA,Input,NA
QC,2020-03-28,43589,NA,6757,NA,2498,NA,22,NA,164,57,NA,Input,"Did not report recovered today, coding NA"
QC,2020-03-29,49364,NA,6313,NA,2840,NA,22,NA,192,72,NA,Input,NA
QC,2020-03-30,56285,NA,6200,NA,3430,NA,25,NA,235,78,NA,Input,NA
QC,2020-03-31,63378,NA,5601,NA,4162,NA,31,NA,286,82,NA,Input,NA
QC,2020-04-01,65082,NA,5770,NA,4611,NA,33,NA,307,82,NA,Input,"no data on recovery"
QC,2020-04-02,69024,NA,4871,NA,5518,NA,36,NA,365,96,NA,Input,"update 1pm"
QC,2020-04-03,77469,NA,4233,NA,6101,NA,61,NA,441,107,NA,Input,NA
QC,2020-04-04,83230,NA,3879,NA,6997,NA,75,NA,478,130,NA,Input,NA
QC,2020-04-05,87992,NA,2847,NA,7944,464,94,NA,525,154,NA,Input,"filling in detail past info from second link, note, they update late at night, check time stamp, the 1pm updates are actually 1 day. We are keeping this uploading format to match our told 1pm updates. https://www.inspq.qc.ca/covid-19/donnees"
QC,2020-04-06,91533,NA,2942,NA,8580,611,121,NA,533,164,NA,Input, NA
QC,2020-04-07,95186,NA,2472,NA,9340,720,150,NA,583,164,NA,Input, NA
QC,2020-04-08,99239,NA,2837,NA,10031,827,175,NA,632,181,NA,Input, NA
QC,2020-04-09,102463,NA,3270,NA,10912,1112,216,NA,679,196,NA,Input, NA
QC,2020-04-10,106540,NA,2721,NA,11677,1341,241,NA,733,186,NA,Input, NA
QC,2020-04-11,110823,NA,2500,NA,12292,1563,289,NA,778,211,NA,Input, NA
QC,2020-04-12,113925,NA,2250,NA,12846,1745,328,NA,824,217,NA,Input, NA
QC,2020-04-13,118013,NA,2645,NA,13557,1982,360,NA,879,226,NA,Input, NA
QC,2020-04-14,123203,NA,2394,NA,14248,2146,435,NA,936,230,NA,Input, NA
QC,2020-04-15,128314,NA,2605,NA,14860,2491,487,NA,984,218,NA,Input, NA
QC,2020-04-16,132714,NA,2939,NA,15857,2841,630,NA,1018,209,NA,Input, NA
QC,2020-04-17,136924,NA,2835,NA,16798,3068,688,NA,1076,207,NA,Input, NA
QC,2020-04-18,141249,NA,2964,NA,17521,3315,805,NA,1130,258,NA,Input, NA
QC,2020-04-19,145191,NA,2905,NA,18357,3555,877,NA,1102,183,NA,Input, NA
QC,2020-04-20,148482,NA,2971,NA,19319,3847,939,NA,1169,198,NA,Input, NA
QC,2020-04-21,151394,NA,2970,NA,20126,4048,1041,NA,1224,201,NA,Input, NA
QC,2020-04-22,155083,NA,4839,NA,20965,4291,1134,NA,1278,199,NA,Input, NA
QC,2020-04-23,158995,NA,3007,NA,21838,4484,1243,NA,1411,207,NA,Input, NA
QC,2020-04-24,163016,NA,2776,NA,22616,4724,1340,NA,1460,227,NA,Input, NA
QC,2020-04-25,167498,NA,2610,NA,23267,5057,1446,NA,1509,217,NA,Input, NA
QC,2020-04-26,171470,NA,2810,NA,24107,5342,1515,NA,1518,215,NA,Input, NA
QC,2020-04-27,175190,NA,2830,NA,24982,5517,1599,NA,1541,210,NA,Input, NA
QC,2020-04-28,178715,NA,2789,NA,25757,5841,1682,NA,1625,217,NA,Input, NA
QC,2020-04-29,182385,NA,2797,NA,26594,6048,1761,NA,1648,222,NA,Input, NA
QC,2020-04-30,186509,NA,1030,NA,27538,6299,1859,NA,1684,214,NA,Input, NA
QC,2020-05-01,190719,NA,1054,NA,28648,6700,2022,NA,1716,218,NA,Input, NA
QC,2020-05-02,199037,NA,1002,NA,29656,6965,2136,NA,1738,222,NA,Input, NA
QC,2020-05-03,202940,NA,824,NA,31865,7258,2205,NA,1754,218,NA,Input, NA
QC,2020-05-04,206551,NA,826,NA,32623,7578,2280,NA,1772,218,NA,Input, NA
QC,2020-05-05,209946,NA,714,NA,33417,7923,2398,NA,1821,218,NA,Input, NA
QC,2020-05-06,220604,NA,1240,NA,34327,8284,2510,NA,1840,213,NA,Input, NA
QC,2020-05-07,228905,NA,1966,NA,35238,8673,2631,NA,1836,224,NA,Input, NA
QC,2020-05-08,234769,NA,1544,NA,36150,8928,2725,NA,1827,207,NA,Input, NA
QC,2020-05-09,244384,NA,1711,NA,36986,9268,2786,NA,1835,205,NA,Input, NA
QC,2020-05-10,245302,NA,1980,NA,37721,9526,2928,NA,1831,199,NA,Input, NA	
QC,2020-05-11,250528,NA,2012,NA,38469,9703,3013,NA,1838,193,NA,Input, NA	
QC,2020-05-12,256518,NA,2012,NA,39225,10056,3131,NA,1841,186,NA,Input, NA	
QC,2020-05-13,261569,NA,1782,NA,39931,10470,3220,NA,1876,194,NA,Input, NA	
QC,2020-05-14,267311,NA,2747,NA,40724,10829,3351,NA,1834,190,NA,Input, NA	
QC,2020-05-15,274630,NA,2906,NA,41420,11039,3401,NA,1822,191,NA,Input, NA
QC,2020-05-16,282551,NA,3010,NA,42183,11458,3483,NA,1763,179,NA,Input, NA
QC,2020-05-17,290192,NA,3300,NA,42920,11754,3562,NA,1766,183,NA,Input, NA	
QC,2020-05-18,296991,NA,2683,NA,43627,12045,3596,NA,1771,179,NA,Input, NA
QC,2020-05-19,302358,NA,10203,NA,44197,12497,3647,NA,1784,180,NA,Input, NA	
QC,2020-05-20,307437,NA,9582,NA,44775,12882,3718,NA,1516,183,NA,Input, NA	
QC,2020-05-21,314247,NA,11599,NA,45495,13327,3800,NA,1504,176,NA,Input, NA	
QC,2020-05-22,321123,NA,12506,NA,46141,13819,3865,NA,1479,171,NA,Input, NA	
QC,2020-05-23,329677,NA,14572,NA,46838,14044,3940,NA,1452,167,NA,Input, NA	
QC,2020-05-24,338380,NA,15375,NA,47411,14331,3984,NA,1435,170,NA,Input, NA	
QC,2020-05-25,347398,NA,13531,NA,47984,14654,4069,NA,1425,179,NA,Input, NA	
QC,2020-05-26,353036,NA,10178,NA,48598,14999,4139,NA,1403,181,NA,Input, NA
QC,2020-05-27,358822,NA,11294,NA,49139,15319,4228,NA,1378,184,NA,Input, NA
QC,2020-05-28,365402,NA,14696,NA,49702,15618,4302,NA,1331,178,NA,Input, NA
QC,2020-05-29,373567,NA,14951,NA,50232,15905,4363,NA,1265,172,NA,Input, NA
QC,2020-05-30,384289,NA,13849,NA,50651,16070,4439,NA,1197,167,NA,Input, NA
QC,2020-05-31,391792,NA,13636,NA,51059,16346,4641,NA,1198,171,NA,Input, NA
QC,2020-06-01,399497,NA,12980,NA,51354,16597,4661,NA,1185,163,NA,Input, NA
QC,2020-06-02,404814,NA,12980,NA,51593,16597,4713,NA,1175,161,NA,Input, "recovered/resolved not filled in due to input lateness"
QC,2020-06-03,410793,NA,9646,NA,51884,17098,4794,NA,1141,158,NA,Input, NA
QC,2020-06-04,417256,NA,12444,NA,52143,17336,4885,NA,1076,146,NA,Input, NA
QC,2020-06-05,424619,NA,12490,NA,52398,17764,4935,NA,1030,131,NA,Input, NA
QC,2020-06-06,431289,NA,10789,NA,52628,18412,4970,NA,981,129,NA,Input, NA
QC,2020-06-07,438296,NA,12657,NA,52849,18714,4978,NA,972,128,NA,Input, NA
QC,2020-06-08,443016,NA,9576,NA,53047,18994,4984,NA,979,121,NA,Input, NA
QC,2020-06-09,446726,NA,6914,NA,53185,19361,5029,NA,961,117,NA,Input, NA
QC,2020-06-10,451406,NA,7791,NA,53341,19841,5081,NA,914,117,NA,Input, NA
QC,2020-06-11,456779,NA,9676,NA,53485,20299,5105,NA,871,114,NA,Input, NA
QC,2020-06-12,462007,NA,8956,NA,53666,20823,5148,NA,840,107,NA,Input, NA
QC,2020-06-13,467270,NA,9493,NA,53824,21281,5195,NA,788,102,NA,Input, NA
QC,2020-06-14,473169,NA,9169,NA,53952,21742,5222,NA,769,85,NA,Input, NA
QC,2020-06-15,477179,NA,6817,NA,54054,22213,5242,NA,771,82,NA,Input, NA
QC,2020-06-16,480360,NA,5200,NA,54146,22350,5269,NA,718,77,NA,Input, NA
QC,2020-06-17,485132,NA,6812,NA,54263,22549,5298,NA,690,72,NA,Input, NA
QC,2020-06-18,490711,NA,8752,NA,54383,22754,5340,NA,637,65,NA,Input, NA
QC,2020-06-19,496727,NA,9750,NA,54550,22972,5375,NA,574,62,NA,Input, NA
QC,2020-06-20,502807,NA,9870,NA,54674,23201,5408,NA,529,62,NA,Input, NA
QC,2020-06-21,502807,NA,8242,NA,54766,23322,5417,NA,521,61,NA,Input, "number of negative did not update"
QC,2020-06-22,502807,NA,7980,NA,54835,23506,5417,NA,520,57,NA,Input, "number of negative did not update"
QC,2020-06-23,515749,NA,7980,NA,54884,23620,5424,NA,515,56,NA,Input, NA
QC,2020-06-24,520227,NA,6185,NA,54937,23710,5441,NA,500,52,NA,Input, NA
QC,2020-06-25,524578,NA,8827,NA,55079,23786,5448,NA,487,50,NA,Input, "late fillin, no recovered numbers"
QC,2020-06-26,524578,NA,8827,NA,55079,23786,5448,NA,487,50,NA,Input, "did not update"
QC,2020-06-27,524578,NA,8827,NA,55079,23786,5448,NA,487,50,NA,Input, "did not update"
QC,2020-06-28,524578,NA,8827,NA,55079,23786,5448,NA,487,50,NA,Input, "did not update"
QC,2020-06-29,535545,NA,7680,NA,55390,24602,5485,NA,455,45,NA,Input, NA
QC,2020-06-30,551091,NA,5424,NA,55458,24798,5503,NA,435,38,NA,Input, NA
QC,2020-07-01,555859,NA,5424,NA,55524,24949,5527,NA,422,33,NA,Input, "late fill in, no backlog"
QC,2020-07-02,561791,NA,5424,NA,55593,25034,5541,NA,411,32,NA,Input, "late fill in, no backlog"
QC,2020-07-03,567253,NA,8662,NA,55682,25158,5560,NA,392,31,NA,Input, NA
QC,2020-07-04,572565,NA,7917,NA,55784,25280,5566,NA,375,27,NA,Input, NA
QC,2020-07-05,572565,NA,7902,NA,55863,25346,5574,NA,371,26,NA,Input, "did not update negative test"
QC,2020-07-06,572565,NA,7902,NA,55937,25378,5577,NA,377,25,NA,Input, "did not update negative test"
QC,2020-07-07,594519,NA,7902,NA,55997,25458,5590,NA,347,26,NA,Input, "late fillin, no backlog"
QC,2020-07-08,599042,NA,7902,NA,56079,25534,5603,NA,331,27,NA,Input, "late fillin, no backlog"
QC,2020-07-09,606464,NA,NA,NA,56216,25616,5609,NA,308,27,NA,Input, "late fillin, no more backlogs from now on"
QC,2020-07-10,613521,NA,NA,NA,56316,25675,5612,NA,317,24,NA,Input, NA
QC,2020-07-11,621527,NA,NA,NA,56407,25773,5620,NA,313,22,NA,Input, NA
QC,2020-07-12,621527,NA,NA,NA,56521,25862,5627,NA,306,20,NA,Input, NA
QC,2020-07-13,621527,NA,NA,NA,56621,25911,5628,NA,305,21,NA,Input, NA
QC,2020-07-14,641941,NA,NA,NA,56730,26025,5633,NA,295,21,NA,Input, NA
QC,2020-07-15,649257,NA,NA,NA,56859,26097,5636,NA,285,20,NA,Input, NA
QC,2020-07-16,658258,NA,NA,NA,57001,26253,5646,NA,277,20,NA,Input, NA
QC,2020-07-17,668020,NA,NA,NA,57142,49939,5647,NA,260,16,NA,Input, NA
QC,2020-07-18,678949,NA,NA,NA,57300,50027,5654,NA,248,15,NA,Input, "What happened to recovered here?"
QC,2020-07-19,687215,NA,NA,NA,57466,50050,5655,NA,251,18,NA,Input, NA
QC,2020-07-20,696577,NA,NA,NA,57616,50190,5657,NA,251,17,NA,Input, NA
QC,2020-07-21,706808,NA,NA,NA,57796,50298,5658,NA,247,15,NA,Input, NA
QC,2020-07-22,716112,NA,NA,NA,57938,50373,5662,NA,235,16,NA,Input, NA
QC,2020-07-23,683818,NA,NA,NA,58080,50505,5662,NA,221,14,NA,Input, "correct for multiple test"
QC,2020-07-24,694513,NA,NA,NA,58243,50615,5663,NA,220,12,NA,Input, NA
QC,2020-07-25,705074,NA,NA,NA,58414,50703,5666,NA,206,12,NA,Input, NA
QC,2020-07-26,715430,NA,NA,NA,58583,50812,5667,NA,197,10,NA,Input, NA
QC,2020-07-27,724714,NA,NA,NA,58728,50886,5667,NA,200,7,NA,Input, NA
QC,2020-07-28,733538,NA,NA,NA,58897,50886,5670,NA,193,8,NA,Input, NA
QC,2020-07-29,734217,NA,NA,NA,59073,50886,5670,NA,190,9,NA,Input, NA
QC,2020-07-30,753885,NA,NA,NA,59131,50886,5673,NA,208,18,NA,Input, NA
QC,2020-07-31,766056,NA,NA,NA,59312,50886,5674,NA,189,15,NA,Input, NA
QC,2020-08-01,777285,NA,NA,NA,59458,50886,5678,NA,177,18,NA,Input, NA
QC,2020-08-02,787859,NA,NA,NA,59599,50886,5681,NA,172,17,NA,Input, NA
QC,2020-08-03,796593,NA,NA,NA,59722,50886,5683,NA,172,18,NA,Input, NA
QC,2020-08-04,803858,NA,NA,NA,59845,50886,5685,NA,169,21,NA,Input, NA
QC,2020-08-05,813787,NA,NA,NA,60000,50886,5687,NA,167,19,NA,Input, NA
QC,2020-08-06,824864,NA,NA,NA,60133,50886,5687,NA,165,19,NA,Input, NA
QC,2020-08-07,834404,NA,NA,NA,60241,50886,5687,NA,152,19,NA,Input, NA
QC,2020-08-08,840825,NA,NA,NA,60367,50886,5687,NA,155,23,NA,Input, NA
QC,2020-08-09,853717,NA,NA,NA,60471,50886,5692,NA,156,22,NA,Input, NA
QC,2020-08-10,861396,NA,NA,NA,60627,53041,5695,NA,157,21,NA,Input, NA
QC,2020-08-11,867334,NA,NA,NA,60718,53135,5696,NA,151,21,NA,Input, NA
QC,2020-08-12,871485,NA,NA,NA,60813,53270,5709,NA,151,20,NA,Input, NA
QC,2020-08-13,883896,NA,NA,NA,60917,53441,5715,NA,149,23,NA,Input, NA
QC,2020-08-14,891742,NA,NA,NA,61004,53598,5718,NA,151,25,NA,Input, NA
QC,2020-08-15,911210,NA,NA,NA,61084,53709,5719,NA,149,25,NA,Input, NA
QC,2020-08-16,902321,NA,NA,NA,61151,53847,5720,NA,149,25,NA,Input, NA
QC,2020-08-17,928215,NA,NA,NA,61206,53930,5721,NA,145,25,NA,Input, NA
QC,2020-08-18,935377,NA,NA,NA,61252,54083,5727,NA,145,27,NA,Input, NA
QC,2020-08-19,943382,NA,NA,NA,61316,54238,5729,NA,146,26,NA,Input, NA
QC,2020-08-20,953084,NA,NA,NA,61402,54383,5730,NA,146,25,NA,Input, NA
QC,2020-08-21,970180,NA,NA,NA,61495,54472,5733,NA,136,23,NA,Input, NA
QC,2020-08-22,979203,NA,NA,NA,61599,54576,5739,NA,124,16,NA,Input, NA
QC,2020-08-23,989487,NA,NA,NA,61673,54682,5740,NA,117,14,NA,Input, NA
QC,2020-08-24,995461,NA,NA,NA,61741,54761,5744,NA,115,12,NA,Input, NA
QC,2020-08-25,1001243,NA,NA,NA,61803,54850,5746,NA,118,12,NA,Input, NA
QC,2020-08-26,1008744,NA,NA,NA,61945,54922,5747,NA,110,12,NA,Input, NA
QC,2020-08-27,1014539,NA,NA,NA,62056,55008,5750,NA,115,15,NA,Input, NA
QC,2020-08-28,1028173,NA,NA,NA,62124,55106,5751,NA,117,17,NA,Input, NA
QC,2020-08-29,1037372,NA,NA,NA,62232,55235,5755,NA,117,17,NA,Input, NA
QC,2020-08-30,1025465,NA,NA,NA,62352,55300,5758,NA,116,16,NA,Input, NA
QC,2020-08-31,1031456,NA,NA,NA,62492,55353,5760,NA,112,18,NA,Input, NA
QC,2020-09-01,1038148,NA,NA,NA,62614,55438,5762,NA,110,20,NA,Input, NA
QC,2020-09-02,1047676,NA,NA,NA,62746,55515,5764,NA,109,20,NA,Input, NA
QC,2020-09-03,1056873,NA,NA,NA,62933,55615,5765,NA,100,20,NA,Input, NA
QC,2020-09-04,1068007,NA,NA,NA,63117,55724,5766,NA,102,18,NA,Input, NA
QC,2020-09-05,1078246,NA,NA,NA,63292,55810,5768,NA,94,17,NA,Input, NA
QC,2020-09-06,1087690,NA,NA,NA,63497,55871,5768,NA,102,18,NA,Input, NA
QC,2020-09-07,1096318,NA,NA,NA,63713,55960,5769,NA,105,18,NA,Input, NA
QC,2020-09-08,1105069,NA,NA,NA,63876,56162,5769,NA,105,15,NA,Input, NA
QC,2020-09-09,1116073,NA,NA,NA,64056,56400,5770,NA,113,14,NA,Input, NA
QC,2020-09-10,1130131,NA,NA,NA,64244,56624,5771,NA,119,12,NA,Input, NA
QC,2020-09-11,1144597,NA,NA,NA,64463,56843,5774,NA,123,12,NA,Input, NA
QC,2020-09-12,1159449,NA,NA,NA,64707,57054,5779,NA,125,16,NA,Input, NA
QC,2020-09-13,1173145,NA,NA,NA,64986,57268,5780,NA,126,19,NA,Input, NA
QC,2020-09-14,1186187,NA,NA,NA,65262,57428,5780,NA,124,19,NA,Input, NA
QC,2020-09-15,1199049,NA,NA,NA,65554,57628,5785,NA,133,23,NA,Input, NA
QC,2020-09-16,1214679,NA,NA,NA,65857,57804,5788,NA,130,26,NA,Input, NA
QC,2020-09-17,1231567,NA,NA,NA,66356,58012,5791,NA,136,29,NA,Input, NA
QC,2020-09-18,1247865,NA,NA,NA,66653,58218,5792,NA,136,30,NA,Input, NA
QC,2020-09-19,1266025,NA,NA,NA,67080,58490,5797,NA,131,31,NA,Input, NA
QC,2020-09-20,1280058,NA,NA,NA,67542,58796,5802,NA,138,31,NA,Input, NA
QC,2020-09-21,1294754,NA,NA,NA,68128,59131,5804,NA,148,30,NA,Input, NA
QC,2020-09-22,1309008,NA,NA,NA,68617,59450,5805,NA,168,28,NA,Input, NA
QC,2020-09-23,1324586,NA,NA,NA,69088,59686,5809,NA,178,30,NA,Input, NA
QC,2020-09-24,1341058,NA,NA,NA,69670,59943,5810,NA,184,31,NA,Input, NA
QC,2020-09-25,1358796,NA,NA,NA,70307,60256,5814,NA,199,33,NA,Input, NA
QC,2020-09-26,1374964,NA,NA,NA,71005,60660,5821,NA,217,45,NA,Input, NA
QC,2020-09-27,1390413,NA,NA,NA,71901,61129,5825,NA,216,41,NA,Input, NA
QC,2020-09-28,1403883,NA,NA,NA,72651,61629,5826,NA,212,37,NA,Input, NA
QC,2020-09-29,1418512,NA,NA,NA,73450,62095,5833,NA,247,41,NA,Input, NA
QC,2020-09-30,1434539,NA,NA,NA,74288,62564,5834,NA,262,43,NA,Input, NA
QC,2020-10-01,1449993,NA,NA,NA,75221,63144,5850,NA,275,46,NA,Input, NA
QC,2020-10-02,1464735,NA,NA,NA,76273,63683,5857,NA,302,49,NA,Input, NA
QC,2020-10-03,1480937,NA,NA,NA,77380,64478,5867,NA,326,60,NA,Input, NA
QC,2020-10-04,1495469,NA,NA,NA,78459,65304,5878,NA,334,64,NA,Input, NA
QC,2020-10-05,1508080,NA,NA,NA,79650,66180,5884,NA,361,62,NA,Input, NA
QC,2020-10-06,1519681,NA,NA,NA,81014,67033,5899,NA,397,67,NA,Input, NA
QC,2020-10-07,1534663,NA,NA,NA,81914,67735,5906,NA,409,62,NA,Input, NA
QC,2020-10-08,1547651,NA,NA,NA,82992,68585,5915,NA,425,68,NA,Input, NA
QC,2020-10-09,1562463,NA,NA,NA,84094,69586,5936,NA,433,67,NA,Input, NA
QC,2020-10-10,1575657,NA,NA,NA,85191,70696,5950,NA,444,73,NA,Input, NA
QC,2020-10-11,1586332,NA,NA,NA,86133,71839,5953,NA,437,72,NA,Input, NA
QC,2020-10-12,1596387,NA,NA,NA,86976,72857,5965,NA,457,75,NA,Input, NA
QC,2020-10-13,1605019,NA,NA,NA,87791,73734,5970,NA,468,85,NA,Input, NA
QC,2020-10-14,1615796,NA,NA,NA,88994,74483,5977,NA,488,80,NA,Input, NA
QC,2020-10-15,1628191,NA,NA,NA,89963,75467,6005,NA,493,83,NA,Input, NA
QC,2020-10-16,1639961,NA,NA,NA,91018,76512,6018,NA,507,87,NA,Input, NA
QC,2020-10-17,1650421,NA,NA,NA,92297,77602,6032,NA,517,85,NA,Input, NA
QC,2020-10-18,1659428,NA,NA,NA,93391,78559,6038,NA,527,88,NA,Input, NA
QC,2020-10-19,1667831,NA,NA,NA,94429,79529,6044,NA,532,92,NA,Input, NA
QC,2020-10-20,1676256,NA,NA,NA,95216,80468,6055,NA,565,100,NA,Input, NA
QC,2020-10-21,1687848,NA,NA,NA,96288,81267,6074,NA,565,94,NA,Input, NA
QC,2020-10-22,1698338,NA,NA,NA,97321,82033,6094,NA,553,101,NA,Input, NA
QC,2020-10-23,1708822,NA,NA,NA,98226,82792,6106,NA,540,99,NA,Input, NA
QC,2020-10-24,1718869,NA,NA,NA,99235,83819,6132,NA,549,93,NA,Input, NA
QC,2020-10-25,1727931,NA,NA,NA,100114,84828,6143,NA,551,97,NA,Input, NA
QC,2020-10-26,1736734,NA,NA,NA,100922,85822,6153,NA,543,93,NA,Input, NA
QC,2020-10-27,1744247,NA,NA,NA,101885,86786,6172,NA,527,91,NA,Input, NA
QC,2020-10-28,1754866,NA,NA,NA,102814,87638,6189,NA,526,89,NA,Input, NA
QC,2020-10-29,1764783,NA,NA,NA,103844,88442,6214,NA,509,78,NA,Input, NA
QC,2020-10-30,1774222,NA,NA,NA,104952,89592,6231,NA,515,81,NA,Input, NA
QC,2020-10-31,1783860,NA,NA,NA,106016,90576,6246,NA,503,82,NA,Input, NA
QC,2020-11-01,1792193,NA,NA,NA,106981,91488,6272,NA,496,84,NA,Input, NA
QC,2020-11-02,1799788,NA,NA,NA,108018,92396,6283,NA,499,81,NA,Input, NA
QC,2020-11-03,1807399,NA,NA,NA,108889,93316,6317,NA,526,85,NA,Input, "did not update negative"
QC,2020-11-04,1816958,NA,NA,NA,109918,94101,6350,NA,539,81,NA,Input, "did not update negative"
QC,2020-11-05,1826763,NA,NA,NA,111056,94884,6378,NA,538,82,NA,Input, "Change in lab counts, need to change all testing data"
QC,2020-11-06,1836671,NA,NA,NA,112189,95956,6403,NA,539,77,NA,Input, NA
QC,2020-11-07,1846158,NA,NA,NA,113423,96831,6431,NA,523,78,NA,Input, NA
QC,2020-11-08,1855290,NA,NA,NA,114752,97789,6440,NA,527,77,NA,Input, NA
QC,2020-11-09,1863502,NA,NA,NA,115989,98740,6455,NA,540,76,NA,Input, NA
QC,2020-11-10,1872175,NA,NA,NA,117151,99721,6493,NA,534,82,NA,Input, NA
QC,2020-11-11,1881487,NA,NA,NA,118529,100564,6515,NA,573,84,NA,Input, NA
QC,2020-11-12,1892048,NA,NA,NA,119894,101407,6557,NA,583,86,NA,Input, NA
QC,2020-11-13,1902683,NA,NA,NA,121195,102569,6586,NA,583,85,NA,Input, NA
QC,2020-11-14,1913551,NA,NA,NA,122643,103668,6611,NA,583,82,NA,Input, NA
QC,2020-11-15,1923149,NA,NA,NA,123854,104848,6626,NA,587,89,NA,Input, NA
QC,2020-11-16,1931901,NA,NA,NA,125072,105998,6651,NA,591,87,NA,Input, NA
QC,2020-11-17,1940506,NA,NA,NA,126054,107326,6675,NA,638,100,NA,Input, NA
QC,2020-11-18,1951528,NA,NA,NA,127233,108625,6710,NA,652,100,NA,Input, NA
QC,2020-11-19,1962211,NA,NA,NA,128440,109800,6744,NA,651,101,NA,Input, NA
QC,2020-11-20,1971929,NA,NA,NA,129699,109800,6774,NA,624,96,NA,Input, NA
QC,2020-11-21,1981135,NA,NA,NA,130888,112734,6806,NA,646,99,NA,Input, NA
QC,2020-11-22,1990026,NA,NA,NA,132042,114085,6829,NA,642,103,NA,Input, NA
QC,2020-11-23,1998114,NA,NA,NA,133206,115367,6842,NA,634,98,NA,Input, NA
QC,2020-11-24,2005133,NA,NA,NA,134330,116624,6887,NA,655,96,NA,Input, NA
QC,2020-11-25,2014050,NA,NA,NA,135430,117551,6915,NA,655,93,NA,Input, NA
QC,2020-11-26,2023854,NA,NA,NA,136894,118491,6947,NA,675,90,NA,Input, NA
QC,2020-11-27,2027784,NA,NA,NA,138163,119727,6984,NA,669,90,NA,Input, NA
QC,2020-11-28,2036612,NA,NA,NA,139643,120906,7021,NA,678,93,NA,Input, NA
QC,2020-11-29,2044593,NA,NA,NA,141038,122014,7033,NA,665,92,NA,Input, NA
QC,2020-11-30,2051984,NA,NA,NA,142371,123177,7056,NA,693,94,NA,Input, NA
QC,2020-12-01,2059065,NA,NA,NA,143548,124200,7084,NA,719,98,NA,Input, NA
QC,2020-12-02,2067438,NA,NA,NA,145062,125197,7125,NA,740,99,NA,Input, NA
QC,2020-12-03,2077380,NA,NA,NA,146532,126179,7155,NA,737,99,NA,Input, NA
QC,2020-12-04,2086865,NA,NA,NA,147877,127549,7183,NA,761,97,NA,Input, NA
QC,2020-12-05,2096461,NA,NA,NA,149908,128828,7231,NA,754,96,NA,Input, NA
QC,2020-12-06,2105149,NA,NA,NA,151599,130018,7255,NA,778,102,NA,Input, NA
QC,2020-12-07,2115590,NA,NA,NA,153176,131297,7277,NA,818,105,NA,Input, NA
